,year,day,time,play
130,2019,08.06(화),18:30,한화3vs8두산
131,2019,08.07(수),18:30,한화7vs5두산
132,2019,08.08(목),18:30,한화2vs5KIA
133,2019,08.09(금),18:30,한화4vs10KIA
134,2019,08.10(토),18:00,한화4vs5KT
135,2019,08.11(일),17:00,한화6vs4KT
136,2019,08.13(화),18:30,NC10vs2한화
137,2019,08.14(수),18:30,NC3vs9한화
138,2019,08.15(목),18:00,한화5vs11롯데
139,2019,08.16(금),18:30,한화2vs1롯데
140,2019,08.17(토),18:00,한화8vs4키움
141,2019,08.18(일),17:00,한화5vs4키움
142,2019,08.20(화),18:30,삼성5vs0한화
143,2019,08.22(목),18:30,한화6vs8SK
144,2019,08.23(금),18:30,한화2vs6SK
145,2019,08.24(토),18:00,두산13vs3한화
146,2019,08.25(일),17:00,두산3vs2한화
147,2019,08.27(화),18:30,키움15vs0한화
148,2019,08.28(수),18:30,키움1vs2한화
149,2019,08.30(금),18:30,한화1vs0LG
150,2019,08.31(토),18:00,KT6vs1한화
151,2019,09.01(일),14:00,KT1vs6한화
152,2019,09.03(화),18:30,KIA6vs5한화
153,2019,09.04(수),18:30,KIA1vs0한화
154,2019,09.05(목),18:30,한화3vs0NC
155,2019,09.06(금),19:00,한화0vs4NC
156,2019,09.07(토),17:00,롯데1vs5한화
157,2019,09.08(일),14:00,롯데12vs0한화
158,2019,09.10(화),18:30,LG5vs2한화
159,2019,09.11(수),18:30,LG5vs9한화
160,2019,09.13(금),14:00,한화5vs4삼성
161,2019,09.14(토),17:00,롯데2vs5한화
162,2019,09.15(일),14:00,롯데7vs1한화
163,2019,09.16(월),18:30,한화11vs1삼성
164,2019,09.17(화),18:30,키움0vs1한화
165,2019,09.20(금),18:30,삼성3vs5한화
166,2019,09.23(월),18:30,한화9vs1LG
167,2019,09.25(수),18:30,한화3vs2NC
168,2019,09.26(목),18:30,한화4vs2NC
169,2019,09.28(토),17:00,한화6vs7두산
170,2019,09.29(일),14:00,SK2vs0한화
171,2019,09.30(월),18:30,SK6vs2한화
